tecnologia,central,mwh,fecha_iso,hora_consulta,timestamp_local_iso,source_url
Biomasa,Privada Térmico Bagazo,21.3,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,BOT Eólico,124.16,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Distribuidoras,57.92,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Privada Eólico,129.72,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Tejona,3.1,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Angostura,39.08,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Arenal,104.35,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,BOT Hidro,13.31,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cachí,74.29,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cariblanco,27.04,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Dengo,115.34,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Distribuidoras,137.04,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Echandi,3.89,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,El General,15.1,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Garita,27.36,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,La Joya,31.94,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Peñas Blancas,16.73,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Pirrís,36.33,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Privada Hidro,32.72,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Reventazón,57.37,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Río Macho,44.22,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Sandillal,19.65,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro I,9.62,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro II,28.68,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro III,21.26,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Ventanas-Garita,23.1,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Norte,-60.87,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Sur,197.4,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Otras Solar,13.49,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Parque Solar Miravalles,0.0,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Boca de Pozo,4.46,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Garabito,120.18,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Guápiles,0.0,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Las Pailas II,51.94,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles I,39.22,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles II,39.53,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles III,12.67,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles V,0.0,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Moín II,0.0,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Moín III,0.0,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Orotina,0.0,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,PTA Garabito,0.0,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,PTA Moín,0.0,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Pailas,30.31,2026-01-14,10:44:58,2026-01-14T10:44:58-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
